,Unnamed: 0,title,location,house_type,house_code,price,tags,lease,area,orientation,floor,elevator,stall,water,electricity,fuel_gas,heating,facility,description
0,0,整租·东方蓝海中心 4室2厅 南/北,昌平-北七家-东方蓝海中心,4室2厅2卫,BJ1627628373490532352,"7300元/月
            (季付价)","精装,集中供暖,双卫生间",整租,136.00㎡,南 北,中楼层/11层,无,免费使用,民水,民电,有,集中供暖,"空调,热水器,暖气,宽带,天然气",
1,1,整租·高教大楼 1房间 东,昌平-沙河-高教大楼,1房间1卫,BJ1610854999984701440,"2200元/月
            (季付价)","精装,非居住房屋",整租,18.53㎡,东,中楼层/28层,有,租用车位,商水,商电,无,自采暖,"洗衣机,冰箱,热水器",【出租原因】业主不用房子，可以长期出租。业主人也比较好沟通，不用担心搬家问题。【周边配套】小区门口有便利店，小商店，菜店，理发店，有餐馆（沙县小吃/巫山烤鱼等等）。【小区介绍】小区是罗顿物业，24小时有保安值岗，出入需要门禁。对住户的安全负责。
2,2,整租·重聚园 2室1厅 南/北,石景山-鲁谷-重聚园,2室1厅2卫,BJ1608006754870755328,"6800元/月
            (季付价)","精装,集中供暖,双卫生间,随时看房",整租,128.65㎡,南 北,低楼层/16层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,天然气",【交通出行】出门150米是吴庄公交站，有120、76、420等多路公交，距离一号线八宝山站两公里【周边配套】医院：石景山医院，眼科医院，朝阳医院京西分院，清华大学玉泉医院 银行：邮储，工商银行，建设银行，中国银行 购物：永辉购物广场 万达广场 首航超市 物美超市【小区介绍】小区是2003年的商品房，有两个门可以进出车，小区停车位充足，中间有个广场
3,3,整租·翡翠公园三期 3室1厅 南/北,昌平-北七家-翡翠公园三期,3室1厅1卫,BJ1639496771119874048,"5200元/月
            (季付价)",,整租,89.00㎡,南 北,中楼层/30层,无,租用车位,暂无数据,暂无数据,有,自采暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,天然气",
4,4,整租·新华街一里 3室1厅 南,丰台-看丹桥-新华街一里,3室1厅1卫,BJ1631872183565287424,"5000元/月
            (季付价)","近地铁,集中供暖",整租,69.26㎡,南,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"空调,衣柜,电视,冰箱,热水器,床,暖气",
5,5,整租·众美城 3室1厅 南/北,大兴-大兴新机场-众美城,3室1厅1卫,BJ1639208889478021120,"3200元/月
            (季付价)","集中供暖,随时看房",整租,93.00㎡,南 北,中楼层/10层,有,租用车位,民水,民电,有,集中供暖,"热水器,床,暖气,天然气",【交通出行】小区北门和西门有公交车站，兴55路直达地铁，距离地铁天宫院站5公里（数据来自百度地图）。【周边配套】小区周边有物美超市，电信营业厅，肯德基，德医口腔，众美公园，庞各庄卫生院等。【小区介绍】众美城小区，是2014年建成的小区，无地上停车位，全都是地下车位，人车分流。
6,6,整租·东亚创展国际 1房间 西,顺义-后沙峪-东亚创展国际,1房间1卫,BJ1633803111757774848,"3200元/月
            (季付价)","精装,集中供暖,随时看房,非居住房屋",整租,38.00㎡,西,中楼层/13层,有,租用车位,商水,商电,无,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气",【交通出行】小区交通便利小区北门出去300米就是机场北线，可以到达京承高速，旁边京密路，机场高速，出行方便。小区东门距离地铁15号线1200米（高德地图可查）【周边配套】东亚创展国际东门一街之隔就是山姆会员店，小区东南方向就是15号线后沙峪站，1000米即到（百度地图可查）。【小区介绍】东亚创展国际是2014年建成社区，小区一共6栋楼，地下地上都有车位，200元/月，车位充足
7,7,整租·佳慧雅园 1室1厅 西,西城-西单-佳慧雅园,1室1厅1卫,BJ1626211578900643840,"13000元/月
            (季付价)","近地铁,精装,集中供暖,随时看房",整租,68.00㎡,西,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,床,暖气",
8,8,整租·新风街1号院 2室1厅 东南,西城-马甸-新风街1号院,2室1厅1卫,BJ1586347428259299328,"12500元/月
            (季付价)","精装,随时看房",整租,80.00㎡,东南,中楼层/22层,有,暂无数据,民水,民电,有,自采暖,"空调,衣柜,热水器,床,暖气,天然气",
9,9,整租·天安国汇 2室1厅 西南,西城-西单-天安国汇,2室1厅2卫,BJ1582218803821936640,"50000元/月
            (季付价)","近地铁,精装,集中供暖,双卫生间",整租,205.07㎡,西南,中楼层/17层,有,租用车位,民水,民电,无,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气",【房源亮点】房子是精装修拎包入住，和对面的一间房要一起出租不能分开租，适合居住。【交通出行】房子位于西单路口南侧，交通便利，出行方便，距离西单地铁站389米（数据来源于百度地图），公交车有7路，菜市场有和平门菜市场、西绒线菜市场，购物出行方便【周边配套】小区往北是西单购物商圈，君太百货、汉光百货、大悦城各大商场林立；往南是宣武门商圈，有世界性连锁企业沃尔玛超市，还有庄胜sogo等购物商场；往东是国家大剧院，适合年轻人跑步散心，老年人遛弯 儿。
10,10,整租·双合家园 2室1厅 南,朝阳-垡头-双合家园,2室1厅1卫,BJ1626134747795161088,"6000元/月
            (季付价)","近地铁,精装,集中供暖,随时看房",整租,86.18㎡,南,中楼层/20层,有,暂无数据,民水,民电,有,集中供暖,"空调,冰箱",
11,11,整租·农林科学院宿舍 3室2厅 南/北,海淀-四季青-农林科学院宿舍,3室2厅2卫,BJ1635861026924658688,"12500元/月
            (季付价)","近地铁,精装,集中供暖,双卫生间",整租,125.28㎡,南 北,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,,
12,12,整租·科源小区 2室1厅 南/西/北,海淀-五道口-科源小区,2室1厅1卫,BJ1593172905338863616,"9000元/月
            (季付价)",集中供暖,整租,52.50㎡,南 西 北,中楼层/4层,无,免费使用,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,天然气",
13,13,整租·鲁能钓鱼台美高梅公馆 3室0厅 东/西,丰台-刘家窑-鲁能钓鱼台美高梅公馆,3室0厅1卫,BJ1641696722587484160,"8500元/月
            (季付价)","业主自荐,新上,近地铁,集中供暖",整租,89.00㎡,东 西,中楼层/29层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床",【交通出行】小区距离宋家庄地铁站600米（数据来源于高德地图），宋家庄地铁站可以换乘五号线、十号线和亦庄线。地铁出行方便。【周边配套】小区北侧底商有超市和洗衣店等基本配套设施，周边大型商超有首开福茂、幸福荣耀超市和京客隆超市，配套齐全，生活方便。【小区介绍】小区一共两栋楼，都是带电梯的高楼层住宅，小区环境挺不错，挺新的。小区民水民电，集中供暖。
14,14,整租·国风长安 2室1厅 南/北,丰台-青塔-国风长安,2室1厅1卫,BJ1620699901623009280,"6500元/月
            (季付价)","精装,集中供暖",整租,90.00㎡,南 北,低楼层/27层,有,租用车位,暂无数据,暂无数据,有,集中供暖,,
15,15,整租·御景春天C区 1室1厅 东,丰台-科技园区-御景春天C区,1室1厅1卫,BJ1610291549285908480,"4500元/月
            (半年付价)","近地铁,精装,集中供暖,随时看房",整租,48.00㎡,东,低楼层/21层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,床,暖气,天然气",【装修描述】家具家电齐全，有电梯，低楼层出行方便，适合居住居住舒适，集中供暖【交通出行】地铁有九号线科技园站、郭公庄站，房山线大葆台站，交通出行便利快捷【周边配套】小区西边有永旺梦乐城大型商超，北边是万达广场，御康公园、世界公园
16,16,整租·优筑 1室1厅 北,丰台-玉泉营-优筑,1室1厅1卫,BJ1621027055233662976,"5600元/月
            (季付价)","精装,集中供暖",整租,66.00㎡,北,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",【交通出行】该小区毗临三环万柳桥主路和四环花乡桥，交通便利。邻近地铁10号线丰台站和首经贸站，公交有夏家胡同公交车站。【周边配套】小区附近有北京银行，建设银行等； 丰台第五幼儿园，北方之星艺术幼儿园等； 医疗：北京三环英和医院，天坛医院。【小区介绍】优筑小区是集中供暖的商品房社区，24小时保安看守，人车分流，居住安全，小区一共四栋楼，绿化好，有水质景观，环境优美。
17,17,整租·富力丹麦小镇 5室2厅 东/南/西/北,大兴-大兴新机场-富力丹麦小镇,5室2厅3卫,BJ1643150277215256576,"17000元/月
            (季付价)","新上,精装",整租,460.00㎡,东 南 西 北,低楼层/2层,有,暂无数据,民水,民电,有,自采暖,,
18,18,整租·旭辉一合相 2室1厅 南/北,大兴-瀛海-旭辉一合相,2室1厅1卫,BJ1641402087629651968,"3400元/月
            (季付价)","新上,近地铁,随时看房",整租,88.00㎡,南 北,高楼层/8层,有,暂无数据,暂无数据,暂无数据,有,自采暖,"空调,床,暖气",
19,19,整租·住欣家园 1室1厅 东,朝阳-常营-住欣家园,1室1厅1卫,BJ1628988573824843776,"4700元/月
            (季付价)",近地铁,整租,49.56㎡,东,高楼层/28层,有,暂无数据,民水,民电,有,自采暖,"衣柜,床",
20,20,整租·合生麒麟社 2房间 南,朝阳-望京-合生麒麟社,2房间1卫,BJ1642777363030736896,"10800元/月
            (季付价)","新上,近地铁,精装,集中供暖,随时看房,非居住房屋",整租,88.00㎡,南,高楼层/29层,有,暂无数据,商水,商电,有,集中供暖,,【交通出行】距离地铁14号线阜通站900米（来源于百度地图），距离地铁14/15号线望京站930米（来源于百度地图）【周边配套】购物：物美超市、新世界百货、方恒国际、凯德mall 地铁：距离14号线阜通站900米（此数据来源于高德地图），距离14/15号线望京站930米（此数据来源于高德地图） 银行：中国银行、友利银行、北京银行、中国建设银行、光大银行【小区介绍】距离地铁14号线阜通站900米（来源于百度地图），距离地铁14/15号线望京站930米（来源于百度地图）
21,21,整租·万泉庄小区 3室1厅 东/西,海淀-苏州桥-万泉庄小区,3室1厅1卫,BJ1620259768184602624,"11000元/月
            (季付价)","近地铁,精装,集中供暖,随时看房",整租,79.00㎡,东 西,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",【交通出行】地铁：10号线巴沟地铁站，16号线苏州桥地铁站  公交：614路【周边配套】商业：城乡仓储超市，超市发，果多美 银行：建设银行，南京银行，招商银行 医疗：海淀医院，海淀妇幼 公园：巴沟山水园【小区介绍】万泉庄小区位于万柳东路，小区环境优美，不临街安静，管理完善，交通出行方便，配套设施齐全
22,22,整租·华贸公寓 1室0厅 西,朝阳-红庙-华贸公寓,1室0厅1卫,BJ1621741331237830656,"11500元/月
            (季付价)","近地铁,集中供暖,随时看房",整租,66.00㎡,西,中楼层/26层,有,租用车位,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气","【交通出行】小区门口就是一号线和十四号线大望路站，公交车站分别有 八王坟北站 八王坟西站 ，直通道路有 西大望路 景辉街 建国路 ，京通快速，机场高速，交通出行十分便利。【周边配套】配套成熟的CBD商圈，美菲特健身会所，俏江南，悦唐火锅 ，上海菜，金鼎轩，乐圣KTV，万达影院，成龙耀莱私影，SKP,华贸商业街，新世界购物中心，沃尔玛, 金地广场 ，丽兹卡尔顿酒店，JW万豪，索菲特酒店，银行（交通，建设，招商，农业）【小区介绍】华贸公寓是2005年商品房社区，华贸服务物业，用封闭式管理，人车分流，住宅区和办公区分离，园区内有生活所需的配套，社区环境优雅，罗马式下沉花园，园林采用组团式、分点式绿化，散落在社区每栋楼间，水景点缀，有儿童娱乐区，增加社区的灵动之美。"
23,23,整租·保利中央公园 4室2厅 南/北,朝阳-望京-保利中央公园,4室2厅2卫,BJ1621513393305288704,"25500元/月
            (季付价)","近地铁,精装,集中供暖,双卫生间,随时看房",整租,144.88㎡,南 北,低楼层/25层,有,暂无数据,民水,民电,有,集中供暖,"空调,衣柜,热水器,暖气,宽带,天然气",【户型介绍】此房为南北通透四居，双卧朝南，客厅在中间，动静分离，适合和与父母或者孩子居住，【周边配套】小区周边都是高端写字楼，西边是大望京公园，距离地铁15号线望京东站大月700米左右，小区内部道路直通机场高速，出行非常方便。【小区介绍】京城五环内美式中 央公园社区，CB D，公园与住宅的完 美融合，真正具备国 际级建筑风范。小区是24小时门岗，独梯独户，隐私性，安全性强
24,24,整租·金隅凤麟洲 1室0厅 东,朝阳-朝青-金隅凤麟洲,1室0厅0卫,BJ1621496531322404864,"5200元/月
            (季付价)","精装,集中供暖",整租,38.00㎡,东,中楼层/9层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",【交通出行】社区门口有共享单车方便出行，社区距离朝阳站公交站台600米（根据高德地图数据），距离北京朝阳高铁站500米，地铁3号线朝阳站站（在建）800米，交通便捷【周边配套】小区购物方便，姚家园菜市场，活力东方购物广场，华润万象汇新开业，西侧有3万平米的公园，是天然的氧吧，姚家园公园，京城休闲公园 医疗配套全面，姚家园社区卫生服务所，和睦家医院，民航总医院【小区介绍】社区是2008年北京金隅集团开发，物业也是自己配套金海燕物业，少有的低密度矮板楼花园洋房，社区分为东区和西区，东区人车分流、物业管家式服务、人性化管理，园区有24小时保安值勤，社区配套3万平生态公园，是天然氧吧
25,25,整租·富力又一城C区 1室0厅 南,朝阳-豆各庄-富力又一城C区,1室0厅1卫,BJ1621459817765797888,"4250元/月
            (季付价)","近地铁,精装,随时看房",整租,47.00㎡,南,中楼层/21层,有,租用车位,民水,民电,有,自采暖,"洗衣机,空调,衣柜,冰箱,热水器,床,宽带",【交通出行】距小区最近的地铁站是7号线延长线黄厂站，小区出门还有457路公交，348路以及411路公交，小区西边是五环路，北边是京哈高速，出行自驾游很方便。【周边配套】小区南边有马家湾湿地公园，适合散步遛弯及运动，环境清新舒适；附近有北京银行，招商银行，建设银行等，有物美，客隆，华联等超市；有路家小馆、大东北饭店、杨国福麻辣烫、老家肉饼、庆丰包子铺、虾吃虾涮、宽板凳，菜篮子，百果园等，丰富您的生活。【小区介绍】小区占地面积约36公顷，总建筑面积115万平方米，其中住宅面积76万平方米，主要以板楼，塔楼为主，开发商自己的物业，北京恒富物业服务有限公司，小区人车分流，总户数6598户，停车位5612个，社区配套成熟。
26,26,整租·爱这城一期 2室1厅 西/北,朝阳-四惠-爱这城一期,2室1厅1卫,BJ1621482550369189888,"10000元/月
            (季付价)","精装,集中供暖,随时看房",整租,106.00㎡,西 北,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,天然气",【交通出行】区从北门出就是朝阳路，有十里堡公交车站。从西门出往西南方向走就能到地铁一号线四惠站。开车从东四环进朝阳路往东即到。【周边配套】小区北门就有水果超市，盒马鲜生。附近还有万科时代，苏宁，未来汇，物美超市，生活很方便。【小区介绍】小区是封闭是管理，24小时保安值班，刷卡进门。市政集中供暖，24小时热水
27,27,整租·领地OFFICE 3室1厅 西南,朝阳-北苑-领地OFFICE,3室1厅1卫,BJ1621428535048536064,"18000元/月
            (季付价)","近地铁,精装,集中供暖",整租,141.26㎡,西南,中楼层/17层,有,暂无数据,民水,民电,有,集中供暖,"空调,暖气",【交通出行】小区东侧是北苑路，西侧是安立路，两条主干道开车出行很便利； 出小区向北侧是五号线立水桥南地铁站，更有464、621、751、620等十多路公交车通过；【周边配套】小区1号楼底商有招商银行，药店，便利店，附近还有易事达购物广场，K酷，上品，周边的银行招行，建行，北京农商，浦发，医院有北京航空航天总医院，清华长庚医院。周边配套齐全，满足日常生活需求。【小区介绍】小区由北京城建集团开发，城建弘通物业； 整个小区一共三栋楼，1号楼东西向的板楼三个单元；2号楼南北向的板楼，三个单元；3号楼是塔楼。
28,28,整租·领地OFFICE 3室1厅 东南,朝阳-北苑-领地OFFICE,3室1厅1卫,BJ1621428095737135104,"20000元/月
            (季付价)","近地铁,精装,集中供暖",整租,160.62㎡,东南,中楼层/17层,有,暂无数据,民水,民电,有,集中供暖,"空调,暖气,天然气",【交通出行】小区东侧是北苑路，西侧是安立路，两条主干道开车出行很便利； 出小区向北侧是五号线立水桥南地铁站，更有464、621、751、620等十多路公交车通过；【周边配套】小区1号楼底商有招商银行，药店，便利店，附近还有易事达购物广场，K酷，上品，周边的银行招行，建行，北京农商，浦发，医院有北京航空航天总医院，清华长庚医院。周边配套齐全，满足日常生活需求。【小区介绍】小区由北京城建集团开发，城建弘通物业； 整个小区一共三栋楼，1号楼东西向的板楼三个单元；2号楼南北向的板楼，三个单元；3号楼是塔楼。
